;numero_catalogo;data_entrada;data_determinacao;DataColetaInicial;ano_entrada;mes_entrada;ano_determinacao;mes_determinacao;ano_coleta;mes_coleta;class;kingdom;genero_ent;genero_atual;especie_ent;especie_atual;subespecie_atual;type_status;DeterminatorFirstName1;DeterminatorLastName1;determinator_full_name;determinator_full_name2;collector_full_name;collector_full_name2;collector_full_name3;collector_full_name4;collector_full_name5;collector_full_name6;altitude;max_altitude;ordem;subordem;familia;phylum;qualificador_atual;notas_taxonomicas;lat;long;municipio;estado_ou_provincia;pais;continente;regiao;lost_in_fire;ano_descricao;author_full;first_author
0;367;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
1;376;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
2;387;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
3;404;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
4;405;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
5;405;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
6;406;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
7;420;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
8;444;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
9;583;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
10;957;;;;;;;;;;Nan;Nan;Nan;Nan;nan;nan;nan;;;;;nan nan;;;;;;;;;;Nan;Nan;Nan;;;;;;;;;;0;;;nan
